세대당인구
2.39
2.35
2.37
2.55
2.44
2.51
2.27
2.2
2.35
2.46
2.72
2.49
2.54
2.38
2.43
2.51
2.58
2.35
2.6
2.37
2.33
2.25
2.5
2.49
2.38
2.39
2.12
2.21
2.03
2.03
2.1
