세대당 인구
2.35
2.31
2.3
2.5
2.39
2.48
2.22
2.16
2.3
2.42
2.71
2.43
2.51
2.32
2.39
2.45
2.54
2.28
2.57
2.33
2.25
2.19
2.46
2.44
2.33
2.36
2.07
2.17
1.99
1.99
2.07
