시군구,2020년인구
수원시,1224926
용인시,1092760
성남시,957352
부천시,846069
화성시,888612
안산시,706615
안양시,558950
평택시,555118
시흥시,528734
김포시,486327
광주시,393116
광명시,307579
군포시,281132
하남시,291122
오산시,238892
이천시,226681
안성시,198084
의왕시,165047
양평군,120023
여주시,115081
과천시,62193
고양시,1088288
남양주시,719052
파주시,474067
의정부시,464212
양주시,237112
구리시,199213
포천시,160072
동두천시,97315
가평군,63498
연천군,44521
