"year","month","sido","signgu","quantity_ton"
2018,1,"경기도","성남시중원구",4553
2018,1,"경기도","성남시분당구",13463
2018,1,"경기도","의정부시",113487
2018,1,"경기도","안양시",39354
2018,1,"경기도","부천시",309915
2018,1,"경기도","평택시",219240
2018,1,"경기도","동두천시",204835
2018,1,"경기도","고양시",15767
2018,1,"경기도","구리시",751881
2018,1,"경기도","남양주시",201322
2018,1,"경기도","오산시",719933
2018,1,"경기도","군포시",164932
2018,1,"경기도","의왕시",618009
2018,1,"경기도","용인시",3075596
2018,1,"경기도","파주시",774187
2018,1,"경기도","이천시",437203
2018,1,"경기도","화성시",2316066
2018,1,"경기도","광주시",480967
2018,1,"경기도","양주시",430700
2018,1,"경기도","포천시",195150
2018,1,"경기도","여주시",130505
2018,2,"경기도","수원시장안구",711909
2018,2,"경기도","수원시권선구",1019974
2018,2,"경기도","수원시팔달구",340537
2018,2,"경기도","수원시영통구",1263656
2018,2,"경기도","성남시중원구",4166
2018,2,"경기도","성남시분당구",12435
2018,2,"경기도","의정부시",102958
2018,2,"경기도","안양시",38483
2018,2,"경기도","부천시",313226
2018,2,"경기도","평택시",206901
2018,2,"경기도","동두천시",200341
2018,2,"경기도","고양시",14870
2018,2,"경기도","구리시",708822
2018,2,"경기도","남양주시",209281
2018,2,"경기도","오산시",683023
2018,2,"경기도","군포시",160156
2018,2,"경기도","의왕시",608305
2018,2,"경기도","용인시",2898600
2018,2,"경기도","파주시",751588
2018,2,"경기도","이천시",412582
2018,2,"경기도","화성시",2150630
2018,2,"경기도","광주시",332335
2018,2,"경기도","양주시",424158
2018,2,"경기도","포천시",190167
2018,2,"경기도","여주시",128589
2018,3,"경기도","수원시장안구",759086
2018,3,"경기도","수원시권선구",1081026
2018,3,"경기도","수원시팔달구",360178
2018,3,"경기도","수원시영통구",1392691
2018,3,"경기도","성남시중원구",4495
2018,3,"경기도","성남시분당구",13831
2018,3,"경기도","의정부시",115438
2018,3,"경기도","안양시",40913
2018,3,"경기도","부천시",342068
2018,3,"경기도","평택시",232495
2018,3,"경기도","동두천시",221241
2018,3,"경기도","고양시",17795
2018,3,"경기도","구리시",709999
2018,3,"경기도","남양주시",237378
2018,3,"경기도","오산시",750674
2018,3,"경기도","군포시",173240
