"signgu","total"
"가평군",25.1347945205479
"고양시",325.136438356164
"과천시",14.4093150684932
"광명시",71.5049315068493
"광주시",108.522465753425
"구리시",62.9279452054795
"군포시",69.6608219178082
"김포시",65.5120547945206
"남양주시",172.567397260274
"동두천시",28.5868493150685
"부천시",231.393424657534
"성남시",258.038904109589
"소계",4087.61397260274
"수원시",642.366301369863
"시흥시",175.84904109589
"안산시",256.066575342466
"안성시",46.9142465753425
"안양시",154.960273972603
"양주시",72.1498630136986
"양평군",24.0665753424658
"여주시",39.4115068493151
"연천군",9.63945205479452
"오산시",56.7887671232877
"용인시",307.363561643836
"의왕시",47.6531506849315
"의정부시",124.605205479452
"이천시",91.032602739726
"파주시",94.8819178082192
"평택시",173.989315068493
"포천시",49.2194520547945
"하남시",83.08
"합계",15506.7578082192
"화성시",204.180821917808
